year,ALL Papers,Computer Forensics,Software Forensics,Knowledge Systematization,Network Forensics,Device Forensics,IoT Forensics
2002,7,2,0,3,1,0,0
2003,9,2,0,3,2,0,0
2004,17,3,0,9,2,0,0
2005,29,9,2,12,3,0,0
2006,44,18,2,17,3,0,0
2007,59,25,7,19,4,0,0
2008,76,34,9,20,7,1,0
2009,91,46,10,22,7,1,0
2010,107,56,11,23,9,3,0
2011,121,65,13,23,11,4,0
2012,135,74,16,23,12,5,0
2013,148,80,18,23,13,8,0
2014,176,92,20,26,16,11,1
2015,204,99,24,29,24,15,2
2016,233,113,27,34,27,17,2
2017,259,124,28,37,32,18,4
2018,288,134,33,40,35,23,5
2019,317,145,38,41,35,26,9
2020,343,156,38,43,38,28,15
2021,381,164,47,47,42,32,20
2022,418,176,52,51,45,33,23
2023,457,190,55,54,49,38,26
2024,498,204,57,57,50,46,29
2025,544,217,62,60,52,50,32
