year,ALL Papers,Computer Forensics,Software Forensics,Knowledge Systematization,Network Forensics,Device Forensics,IoT Forensics
2002,0.012867647058823529,0.009216589861751152,0.0,0.05,0.019230769230769232,0.0,0.0
2003,0.016544117647058824,0.009216589861751152,0.0,0.05,0.038461538461538464,0.0,0.0
2004,0.03125,0.013824884792626729,0.0,0.15,0.038461538461538464,0.0,0.0
2005,0.05330882352941176,0.041474654377880185,0.03225806451612903,0.2,0.057692307692307696,0.0,0.0
2006,0.08088235294117647,0.08294930875576037,0.03225806451612903,0.2833333333333333,0.057692307692307696,0.0,0.0
2007,0.10845588235294118,0.1152073732718894,0.11290322580645161,0.31666666666666665,0.07692307692307693,0.0,0.0
2008,0.13970588235294118,0.15668202764976957,0.14516129032258066,0.3333333333333333,0.1346153846153846,0.02,0.0
2009,0.16727941176470587,0.2119815668202765,0.16129032258064516,0.36666666666666664,0.1346153846153846,0.02,0.0
2010,0.19669117647058823,0.25806451612903225,0.1774193548387097,0.38333333333333336,0.17307692307692307,0.06,0.0
2011,0.22242647058823528,0.2995391705069124,0.20967741935483872,0.38333333333333336,0.21153846153846154,0.08,0.0
2012,0.24816176470588236,0.34101382488479265,0.25806451612903225,0.38333333333333336,0.23076923076923078,0.1,0.0
2013,0.27205882352941174,0.3686635944700461,0.2903225806451613,0.38333333333333336,0.25,0.16,0.0
2014,0.3235294117647059,0.423963133640553,0.3225806451612903,0.43333333333333335,0.3076923076923077,0.22,0.03125
2015,0.375,0.45622119815668205,0.3870967741935484,0.48333333333333334,0.46153846153846156,0.3,0.0625
2016,0.42830882352941174,0.5207373271889401,0.43548387096774194,0.5666666666666667,0.5192307692307693,0.34,0.0625
2017,0.47610294117647056,0.5714285714285714,0.45161290322580644,0.6166666666666667,0.6153846153846154,0.36,0.125
2018,0.5294117647058824,0.6175115207373272,0.532258064516129,0.6666666666666666,0.6730769230769231,0.46,0.15625
2019,0.5827205882352942,0.6682027649769585,0.6129032258064516,0.6833333333333333,0.6730769230769231,0.52,0.28125
2020,0.6305147058823529,0.7188940092165899,0.6129032258064516,0.7166666666666667,0.7307692307692307,0.56,0.46875
2021,0.7003676470588235,0.7557603686635944,0.7580645161290323,0.7833333333333333,0.8076923076923077,0.64,0.625
2022,0.7683823529411765,0.8110599078341014,0.8387096774193549,0.85,0.8653846153846154,0.66,0.71875
2023,0.8400735294117647,0.8755760368663594,0.8870967741935484,0.9,0.9423076923076923,0.76,0.8125
2024,0.9154411764705882,0.9400921658986175,0.9193548387096774,0.95,0.9615384615384616,0.92,0.90625
2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0
