id,label,node_type,pub_count,country
Vassil Roussev,Vassil Roussev,Author,18,
Sangjin Lee,Sangjin Lee,Author,19,
Andrew Case,Andrew Case,Author,15,
Golden G. Richard III,Golden G. Richard III,Author,24,
Frank Breitinger,Frank Breitinger,Author,29,
Mourad Debbabi,Mourad Debbabi,Author,17,
Ibrahim Baggili,Ibrahim Baggili,Author,32,
Felix C. Freiling,Felix C. Freiling,Author,26,
Mark Scanlon,Mark Scanlon,Author,20,
Harald Baier,Harald Baier,Author,14,
Friedrich-Alexander-University Erlangen-Nuremberg,Friedrich-Alexander-University Erlangen-Nuremberg,Institution,0,Germany
Hochschule Darmstadt,Hochschule Darmstadt,Institution,0,Germany
"Digital Forensics Solutions, LLC","Digital Forensics Solutions, LLC",Institution,0,USA
University College Dublin,University College Dublin,Institution,0,Ireland
Korea University,Korea University,Institution,0,Korea
University of Augsburg,University of Augsburg,Institution,0,Germany
University of New Orleans,University of New Orleans,Institution,0,USA
University of New Haven,University of New Haven,Institution,0,USA
Concordia University,Concordia University,Institution,0,Canada
University of Lausanne,University of Lausanne,Institution,0,Switzerland
University of Liechtenstein,University of Liechtenstein,Institution,0,Liechtenstein
Volatility Foundation,Volatility Foundation,Institution,0,USA
Volexity,Volexity,Institution,0,USA
Louisiana State University,Louisiana State University,Institution,0,USA
Zayed University,Zayed University,Institution,0,United Arab Emirates
National Institute for Standards and Technologies,National Institute for Standards and Technologies,Institution,0,USA
University of the Bundeswehr Munich,University of the Bundeswehr Munich,Institution,0,Germany
University of Applied Sciences Darmstadt,University of Applied Sciences Darmstadt,Institution,0,Germany
"CRISP, Center for Research in Security and Privacy, Darmstadt","CRISP, Center for Research in Security and Privacy, Darmstadt",Institution,0,Germany
