Paper Title,title,authors,school/organization_names,author_countries,conference,published_year,forensic_vs_anti
Audit Data Reduction Using Neural Networks and Support Vector Machines,"```json
{
    ""title"": ""Audit Data Reduction Using Neural Networks and Support Vector Machines""
}
```","```json
{
    ""authors"": ""Srinivas Mukkamala, Andrew Sung""
}
```","```json
{
    ""school_names"": [
        ""New Mexico Institute of Mining and Technology""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A Lessons Learned Repository for Computer Forensics By,"```json
{
    ""title"": ""A Lessons Learned Repository for Computer Forensics""
}
```","```json
{
    ""authors"": ""Warren Harrison, George Heuston, Mark Morrissey, David Aucsmith, Sarah Mocas, Steve Russelle""
}
```","```json
{
    ""school_names"": [
        ""Portland State University"",
        ""Intel Corporation"",
        ""Hillsboro Police Department"",
        ""Portland Police Bureau""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Can Digital Evidence Endure the Test of Time? By,"```json
{
    ""title"": ""Can Digital Evidence Endure the Test of Time?""
}
```","```json
{
    ""authors"": ""Michael Duren, Chet Hosmer""
}
```","```json
{
    ""school_names"": [""WetStone Technologies, Inc.""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Defining Digital Forensic Examination and Analysis Tools By,"```json
{
    ""title"": ""Defining Digital Forensic Examination and Analysis Tools""
}
```","```json
{
    ""authors"": ""Brian Carrier""
}
```","```json
{
    ""school_names"": []
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Language and Gender Author Cohort Analysis of E-mail for Computer Forensics,"```json
{
    ""title"": ""Language and Gender Author Cohort Analysis of E-mail for Computer Forensics""
}
```","```json
{
    ""authors"": ""Olivier De Vel, Malcolm Corney, Alison Anderson, George Mohay""
}
```","```json
{
    ""school_names"": [
        ""Defence Science and Technology Organisation"",
        ""Queensland University of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Steganalysis with a Computational Immune System By,"```json
{
    ""title"": ""Steganalysis with a Computational Immune System""
}
```","```json
{
    ""authors"": ""Jacob Jackson, Gregg Gunsch, Roger Claypoole, Gary Lamont""
}
```","```json
{
    ""school_names"": [
        ""Air Force Institute of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
James Lyle From the proceedings of,"```json
{
    ""title"": ""Testing Disk Imaging Tools""
}
```","```json
{
    ""authors"": ""James Lyle, James R. Lyle""
}
```","```json
{
    ""school_names"": [
        ""National Institute of Standards and Technology"",
        ""National Institute of Justice""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2002""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A Functional Reference Model of Passive Network Origin Identification,"```json
{
    ""title"": ""A Functional Reference Model of Passive Network Origin Identification""
}
```","```json
{
    ""authors"": ""Thomas Daniels""
}
```","```json
{
    ""school_names"": []
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2003""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Chet Hosmer, Christopher Hyde From the proceedings of","```json
{
    ""title"": ""Discovering Covert Digital Evidence""
}
```","```json
{
    ""authors"": ""Chet Hosmer, Christopher Hyde""
}
```","```json
{
    ""school_names"": [""WetStone Technologies, Inc.""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2003""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
An Event-Based Digital Forensic Investigation Framework,"```json
{
    ""title"": ""An Event-Based Digital Forensic Investigation Framework""
}
```","```json
{
    ""authors"": ""Brian Carrier, Eugene Spafford""
}
```","```json
{
    ""school_names"": [
        ""Purdue University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A Hierarchical, Objectives-Based Framework for the Digital Investigations Process","```json
{
    ""title"": ""A Hierarchical, Objectives-Based Framework for the Digital Investigations Process""
}
```","```json
{
    ""authors"": ""Nicole Beebe, Jan Clark""
}
```","```json
{
    ""school_names"": [
        ""University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
BBN Systems: Adversary Modeling to Develop Forensic Observables,"```json
{
    ""title"": ""BBN Systems: Adversary Modeling to Develop Forensic Observables""
}
```","```json
{
    ""authors"": ""John Lowry, Rico Valdez, Brad Wood""
}
```","```json
{
    ""school_names"": []
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Breaking the Performance Wall: The Case for Distributed Digital Forensics,"```json
{
    ""title"": ""Breaking the Performance Wall: The Case for Distributed Digital Forensics""
}
```","```json
{
    ""authors"": ""Vassil Roussev, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
"Forensics, Fighter Pilots and the OODA Loop: The Role of Digital Forensics in Cyber Command and Control","```json
{
    ""title"": ""Forensics, Fighter Pilots and the OODA Loop: The Role of Digital Forensics in Cyber Command and Control""
}
```","```json
{
    ""authors"": ""Heather Dussault, Chet Maciag""
}
```","```json
{
    ""school_names"": [
        ""SUNY Institute of Technology"",
        ""Griffiss Institute for Information Assurance"",
        ""Air Force Research Laboratory""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
How to Reuse Knowledge about Forensic Investigations By,"```json
{
    ""title"": ""How to Reuse Knowledge about Forensic Investigations""
}
```","```json
{
    ""authors"": ""Danilo Bruschi, Mattia Monga, Lorenzo Martignoni""
}
```","```json
{
    ""school_names"": [
        ""Università degli Studi di Milano"",
        ""Università degli Studi di Milano Bicocca""
    ]
}
```","```json
{
    ""author_countries"": [""Italy"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Paul Blythe and Jessica Fridrich From the proceedings of,"```json
{
    ""title"": ""Secure Digital Camera""
}
```","```json
{
    ""authors"": ""Paul Blythe, Jessica Fridrich""
}
```","```json
{
    ""school_names"": [""SUNY Binghamton""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Venansius Baryamureeba, Florence Tushabe From the proceedings of","```json
{
    ""title"": ""The Enhanced Digital Investigation Process Model""
}
```","```json
{
    ""authors"": ""Venansius Baryamureeba, Florence Tushabe""
}
```","```json
{
    ""school_names"": [""Institute of Computer Science, Makerere University""]
}
```","```json
{
    ""author_countries"": [""Uganda"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2004""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Automated Digital Evidence Target Definition Using Outlier Analysis and Existing Evidence,"```json
{
    ""title"": ""Automated Digital Evidence Target Definition Using Outlier Analysis and Existing Evidence""
}
```","```json
{
    ""authors"": ""Brian Carrier, Eugene Spafford""
}
```","```json
{
    ""school_names"": [""Purdue University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Automatically Creating Realistic Targets for Digital Forensics Investigation,"```json
{
    ""title"": ""Automatically Creating Realistic Targets for Digital Forensics Investigation""
}
```","```json
{
    ""authors"": ""Frank Adelstein, Yun Gao, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [
        ""University of New Orleans"",
        ""ATC-NY""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
